bird,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
B303,34.61112094,37.00293163,29.1385072,47.59955015,35.48602932,27.61840406,24.99364832,32.74489253,34.54675326,41.54079428,34.58095324,30.11397768,35.21108074,30.32326833,38.42023329
B497,22.74624945,36.74866063,48.86999746,38.39249528,33.04469995,33.42848293,34.98843649,33.62603534,31.54627626,29.26613733,32.40172214,31.78797177,31.65997838,30.74764603,28.72834835
G225,29.83698599,18.5180176,39.06937975,35.9479311,31.37808612,22.76915407,16.847854,27.32473263,26.66816216,19.77973251,19.11409237,30.34619785,30.14411382,26.13365135,27.65756151
G380,26.7520061,19.13905462,57.71653703,40.39797049,30.90261046,35.70553068,31.83239189,30.63295257,31.03992647,29.83732705,29.2301666,39.45020206,27.52565783,29.59210975,35.75453307
G488,27.54715031,26.93705248,21.77752575,25.25864581,26.43136317,16.12655238,24.35631974,20.28839919,30.3371722,25.15852858,23.32947177,25.28425958,24.76586147,22.61206545,40.85904822
R423,18.40750752,22.45551858,35.60854226,24.32125852,16.1534524,19.31593541,16.26515336,20.93073246,20.6911632,20.69494611,24.50773106,23.41921531,20.52292393,12.24947341,16.53215093
S371,34.84601517,38.43257817,47.37255104,55.71179797,37.16144075,33.81292432,34.67292608,34.33359232,35.87056667,39.83337877,36.60337219,50.39384286,35.57607366,36.20743056,34.46164448
G487,22.6719523,28.62054544,31.5575678,18.6082437,17.95446131,26.33742625,25.41281805,20.16826148,25.10940584,31.61709026,24.81189381,42.04846614,27.69707837,27.71960508,28.43744651
S493,31.00353456,18.49490295,37.17398044,25.91744714,18.5878474,22.12317131,24.83334871,24.12303472,22.40566785,24.52467316,23.49027108,18.27800113,19.03397181,28.74399782,31.15929565
Y485,17.64435454,21.15467039,25.05680853,21.6758399,19.53530538,27.31538856,18.53444823,35.49549141,22.83429339,22.45765726,17.88916377,25.50334597,15.7555465,22.64601855,31.86984712
O144,15.9328394,13.69985514,31.11080001,28.45866766,32.00982693,19.96063757,18.66229493,39.29552346,18.20528798,33.12727874,23.96834768,26.85411158,22.32156602,15.89547184,34.27856094
O254,15.74821779,19.32699595,28.20593291,13.62950771,24.18667755,9.272121568,21.99678414,22.39233338,7.566934543,15.02912935,10.76207307,11.81130489,26.75746313,14.55237889,21.06689273
S132,19.62009768,22.59286749,16.44741753,23.25059467,16.36562102,21.3625916,21.6163372,15.84162383,20.70459643,25.74439416,23.18980966,18.07302163,13.79832374,20.81988575,18.40188625
B258,25.93647989,31.64334801,29.88364469,25.34622494,17.47368523,23.6220586,24.78929891,29.33723099,22.15998372,34.80557279,28.77731593,35.37157167,28.29958718,40.76389162,30.44506698
P127,21.72399436,15.61332492,29.48095324,32.54849811,23.93652746,17.13423462,14.23813297,21.16383441,26.58651143,15.32375008,13.02913383,23.07669501,19.38824456,20.11856995,22.66287178
P128,15.07109127,19.23016136,14.3368184,27.73100211,7.753507253,10.09377106,11.96828261,12.95895944,12.5661732,16.05121801,16.7468509,14.30036348,16.24501534,15.21565953,23.26696684
P131,12.68752251,13.82797379,20.45304983,24.35606545,12.93494201,17.91814638,21.12186023,12.00580993,16.80759243,9.95156274,6.521028536,18.06838388,13.39129041,11.95993258,17.04407676
P132,22.34765948,3.891902089,3.029112751,18.63230156,2.068931749,18.76756121,16.70650564,5.043335873,8.026403593,11.30126662,22.53711208,14.86338228,9.836228125,12.75357806,12.70350122
