tutor,pupil,tutor_parth,pupil_path
1,1,47.34022581,-11.87237459
2,1,44.83947715,-17.48412115
3,1,33.56150939,-4.722865929
4,1,46.85192224,-10.26152821
5,1,34.60802721,0.152024562
6,1,35.78653964,-7.79687534
7,1,33.41644752,12.55386736
8,1,28.65167831,13.39630489
1,2,47.34022581,-12.15552435
2,2,44.83947715,-13.34733652
3,2,33.56150939,-6.854377221
4,2,46.85192224,-20.45217629
5,2,34.60802721,-10.73902818
6,2,35.78653964,-2.871849301
7,2,33.41644752,-3.247751154
8,2,28.65167831,-4.025403322
3,3,33.56150939,-4.139409985
